first_name,last_name,id_number,employment_start_date,monthly_salary,department,multisport
WIKTOR,Nowak ,lo/749687/2011,,3966.3 pln,LOGISTYKA,Fa≥sz
eløbieta,KR”L,ks/630546/2014,2014-09-07,6198.0 z≥,KSI GOWOå∆,
Katarzyna,Jab≥oÒska,CZ/462546/2011,2011-09-03,2715.7 z≥,CZYSTOå∆,nie
Halina,Pietrzak,lo/617804/2010,2010-12-27T00:00:00,2841.75 z≥otych,LOGISTYKA  ,NIE
Justyna,GÛrska ,LO/731233/2013,2013-12-31,4706.235000000001 pln,LOGISTYKA  ,FA£SZ
Karol,Marciniak,MA.838736.2011,2011/02/15,4950.880000000001 z≥otych,MARKETING,Tak
Jerzy,SzymaÒski,cz/864773/2009,2009-10-03T00:00:00,3362.7 pln,CZYSTOå∆,0
Czes≥aw  ,wrÛbel,ka/941661/2010,2010-03-02,4852.12 Z£,KADRY,nie
Zygmunt,ZiÛ≥kowski,ma/853062/2017,2017-09-11  ,3441.6000000000004 Z£,MARKETING,Fa≥sz
Karolina,Kowalczyk,lo/992273/2017,2017-07-23,"4 304,475 Z£",LOGISTYKA,nie ma
Edmund,WrÛblewski,cz/728467/2013,2013-03-06,2333.76 z≥,CZYSTOå∆,ma  
S≥awomir,Wilk,ma/932486/2014,2014-02-19,5797.440000000001 z≥,MARKETING,Prawda
Antoni  ,Kowalczyk,SP/644240/2016,2016/11/15,5230.950000000001 Z£ ,SPRZEDAØ,false
Tomasz,Lis,MA/501439/2016,2016-06-18T00:00:00,5152.0 Z£,MARKETING   ,nie ma
Leszek,wasilewski,ma/653285/2014,2014-07-19,5673.888000000002 z≥otych,MARKETING,true
Bogus≥aw,MICHALAK,sp/468175/2012,2012-06-29,"4 215,0 pln",SPRZEDAØ,false
Feliks,Walczak,cz/267992/2013,2013-11-11,"2 602,4900000000002 pln",CZYSTOå∆,  
,LEWANDOWSKI,MA/525805/2010,2010-03-02,4625.6320000000005 z≥,MARKETING,
Wies≥awa,Pawlak  ,KA/476727/2014,2014-07-19,4932.875 Z£,KADRY,false
Antoni  ,JasiÒski,SP.995171.2013,2013-04-25,4352.700000000001 pln,,True
W≥adys≥aw,WrÛbel  ,SP.886447.2016,2016-11-15,4123.35 pln  ,SPRZEDAØ,ma
mariola,WITKOWSKA,ma/586213/2013,2013-09-22,"5 332,0960000000005 z≥otych  ",MARKETING,Prawda
Julia,KamiÒska,SP/202852/2014   ,2014-12-16,5540.700000000001 pln ,SPRZEDAØ  ,True 
Jan,Tomaszewski  ,LO/486358/2012,2012-05-10T00:00:00,2848.5 pln,LOGISTYKA,FA£SZ
Aleksandra,nowakowska,SP-826310-2014,2014-05-30,3627.0 pln,SPRZEDAØ,False
Zdzis≥aw,Kalinowski,LO/431812/2012,2012-01-31,4306.500000000001 pln,LOGISTYKA,MA
daniela,MALINOWSKA,KA/157728/2015,2015-07-04,5833.828 z≥,KADRY,TAK
Micha≥,Sadowski ,KA_894929_2011,2011-10-23T00:00:00,3687.9150000000004 z≥otych,KADRY,tak
CELINA,Koz≥owska,LO.185901.2014,2014-07-19,4117.5 Z£,LOGISTYKA,0
lidia,Woüniak,LO_155162_2012,2012-03-21T00:00:00,"3 742,8750000000005 z≥otych",LOGISTYKA,0
Artur,UrbaÒski,CZ/259719/2016,2016-06-18,3247.2000000000003 Z£,CZYSTOå∆ ,tak
JERZY,Sawicki,MA/976674/2012, ,3742.4 pln  ,MARKETING,NIE MA
JÛzef,Kaümierczak,IT/889197/2014,,8285.25 z≥,IT,false
roman,lewandowski,KA/483021/2015,2015-10-12,4832.822500000001 Z£,KADRY ,true
aneta,Lewandowska,LO_539395_2016,2016-06-18,4324.05 PLN ,LOGISTYKA,nie ma
Ludwik,G≥owacki ,KA_723571_2016 ,2016-04-29,5311.075000000001 PLN ,KADRY,1
W≥adys≥aw,Wysocki,KA/196998/2013,2013-11-11T00:00:00 ,5179.278499999999 z≥,KADRY,tak 
stefania,grabowska,sp/208265/2014,2014-04-10,3752.1000000000004 Z£,SPRZEDAØ,True
Marianna,Pietrzak,ma/946904/2018,2018-10-16T00:00:00,"4 702,400000000001 z≥",,0
Franciszka,Malinowska,ma/619059/2013,2013-03-06,3558.4 z≥,MARKETING,Fa≥sz
jolanta,Tomaszewska,za/827185/2011,2011/09/03,65672.75 z≥otych,ZARZ•D,PRAWDA
Stefania,Nowakowska,sp/932144/2013,2013-03-06T00:00:00,"4 806,0 z≥otych",SPRZEDAØ,False
Kazimierz,KRAWCZYK ,OC/102693/2012,2012-11-26,3947.0200000000004 z≥otych,OCHRONA,  
Zdzis≥aw,Nowakowski,SP.702638.2010,2010-11-07T00:00:00,3935.2500000000005 PLN,SPRZEDAØ,Tak 
bogdan,Sobczak,ka/928552/2014,2014-09-07,5093.3 PLN,KADRY,0
ireneusz,rutkowski,OC/112942/2015,2015-05-15,2680.37 z≥,OCHRONA,Nie
zuzanna,Jankowska,CZ_645450_2018,2018-02-08,2340.4 PLN,CZYSTOå∆,0
Krzysztof,Adamczyk,sp/116256/2010,2010-03-02,5100.9 PLN,SPRZEDAØ,Fa≥sz
,Makowski  ,SP/406294/2015,2015-03-26T00:00:00,4386.8550000000005 pln,SPRZEDAØ,TAK
Jadwiga,Lewandowska,MA-470889-2013,2013-08-03,4508.0 z≥,MARKETING,0
Wiktor,lewandowski,CZ/154214/2010,2010-11-07,3463.4 z≥,CZYSTOå∆,false
Olga,Dudek ,SP/583405/2013,2013-11-11,4080.0 Z£,SPRZEDAØ,Fa≥sz
Marta,Nowakowska  ,KS_657470_2016,2016-06-18,6767.200000000001 Z£,KSI GOWOå∆ ,True
Agata,Malinowska,ZA/999331/2010,2010-12-27,451935.00000000006 pln,ZARZ•D ,1
Edward,Ko≥odziej,ma/829216/2017 ,2017-06-03,4136.0 z≥otych,MARKETING,NIE
Krystyna,WÛjcik,MA_743288_2017,2017-02-23,"4 049,7600000000007 z≥",MARKETING,ma
Magdalena ,Adamczyk,sp/377960/2013,2013/11/11,3601.620000000001 PLN,SPRZEDAØ,ma 
Weronika,Pawlak  ,SP/669832/2017,2017-02-23,5509.679999999999 z≥,SPRZEDAØ,1
Dariusz,G≥owacki,MA/574524/2012,2012/08/18  ,5580.8 Z£,,0
Czes≥awa,KrÛl,CZ/523672/2015,2015-03-26,"3 200,01 Z£",CZYSTOå∆,MA  
Zenon,ZieliÒski,MA_240116_2010,2010-12-27,5582.720000000001 z≥otych,MARKETING,PRAWDA
Emilia,WÛjcik,SP/108188/2016,2016-09-26,3254.5499999999997 z≥,SPRZEDAØ,false
Leon,Kowalczyk,OC/723241/2010,2010-03-02,3269.2000000000003 z≥otych,OCHRONA,FA£SZ
Alfreda,Jankowska,sp/128482/2017 ,2017-12-20,3239.5499999999997 z≥otych ,SPRZEDAØ,NIE MA
Leszek,Jaworski,SP_656164_2010,2010-01-11T00:00:00,4380.15 Z£,SPRZEDAØ,Nie
Robert,Maciejewski,IT/159331/2012,2012-11-26,5409.75 z≥,IT,nie
Eløbieta,WrÛbel,LO/396692/2015,2015-05-15,4954.702500000001 pln,,True
Halina,SZEWCZYK    ,ks/697432/2017,2017/12/20,"7 659,3 pln",KSI GOWOå∆,ma
Henryk,UrbaÒski,ks/253131/2014,2014-02-19,6983.24 Z£,KSI GOWOå∆,Prawda
Cecylia,Adamczyk ,SP/265721/2012,2012/06/29,4297.5 z≥otych,SPRZEDAØ,FA£SZ
zdzis≥awa,krÛl,LO/434860/2010,2010-11-07T00:00:00,3377.7000000000003 pln  ,LOGISTYKA,NIE MA
Justyna,Nowak,SP-996062-2010,2010-01-11,5213.1 z≥otych,SPRZEDAØ ,false
Bogus≥awa,,oc/322810/2010,2010-11-07,2385.9 PLN,OCHRONA,nie ma
Eugeniusz,UrbaÒski,it/302277/2011,2011-04-06  ,7220.25 Z£,IT,FA£SZ  
Olga,Mazur  ,sp/581690/2015,2015-08-23,3593.1000000000004 z≥     ,SPRZEDAØ,FA£SZ
stanis≥aw,Sobczak   ,KS.834769.2016,2016-09-26,"6 483,400000000001 z≥",KSI GOWOå∆,Tak
Ilona,Adamczyk,ma/247419/2010,2010-03-02 ,4836.16 z≥otych,MARKETING,nie 
Julia ,Jankowska,lo/368281/2011,2011-09-03 ,4059.9900000000002 pln,LOGISTYKA,True
Tomasz,Wysocki,ka/557715/2018,2018/02/08,5265.35 pln ,KADRY,Nie
Katarzyna,Jab≥oÒska,cz/462546/2011,2011-09-03,2715.7 z≥,CZYSTOå∆,nie
Weronika,ZieliÒska,OC/311649/2009,2009/06/25,"2 629,11 pln",OCHRONA,Fa≥sz
Eleonora,Tomaszewska,MA/232640/2017,,4073.6000000000004 pln,MARKETING,Nie
mieczys≥aw,ZieliÒski,KA/392915/2011,2011/02/15,5014.25 PLN,KADRY,nie ma
Danuta,Sikora,KS/597221/2016,2016-03-10,6559.080000000001 z≥,KSI GOWOå∆,Prawda
Andrzej   ,KOWALSKI,MA/414297/2014,2014-05-30T00:00:00,"3 532,8 z≥",MARKETING  ,Fa≥sz
MARIUSZ,zakrzewski,MA/939746/2012 ,2012/06/29,"4 672,0 z≥otych",MARKETING,Fa≥sz
Karolina,Nowak,KS_125271_2014,2014-12-16,5226.6 pln,KSI GOWOå∆,False
Iwona,Wieczorek,LO/321495/2018,2018/08/27,4684.5 Z£,LOGISTYKA,FA£SZ
ryszard,GRABOWSKI,sp/698665/2009,2009-06-25,5178.6 z≥,SPRZEDAØ ,NIE MA
Mieczys≥awa,Kowalczyk,ks/469968/2014,2014/04/10,"4 972,0 pln",KSI GOWOå∆,Fa≥sz
Dorota ,Baran,KA-644460-2017,2017-10-31,"4 743,0 z≥otych",KADRY,nie ma
Kazimiera,Kwiatkowska,KA/640643/2016,2016-03-10,4704.25 z≥,KADRY,Fa≥sz
GENOWEFA,Dudek,KA/699564/2013,2013-01-15,5118.41 Z£,KADRY,Nie
Eugenia,Jaworska,ka/457548/2017,2017-10-31,"5 138,25 z≥",KADRY,False
Marianna,MALINOWSKA ,MA/593141/2018 ,2018/07/08 ,5265.92 PLN,MARKETING,
Wiktor,Majewski  ,CZ/458556/2016,2016/01/20,2516.9100000000003 PLN,CZYSTOå∆,True
cezary,Zawadzki,SP-736197-2018,2018/03/30,4387.5 z≥otych,SPRZEDAØ  ,NIE
W≥odzimierz  ,Nowak,LO/146043/2017,2017/06/03,3905.55 pln ,LOGISTYKA,NIE
Bogus≥awa,PIOTROWSKA,KA-858224-2013,2013-04-25,4096.1849999999995 pln,KADRY,NIE MA  
Aleksandra,JasiÒska,KS-553392-2016,2016/08/07,4844.0 Z£,KSI GOWOå∆,Nie
Alina,Mazur,KS/198057/2010,2010-06-10,6897.4 z≥,KSI GOWOå∆,nie ma
Romuald ,Lewandowski,LO/773977/2010,2010-09-18T00:00:00,3506.4900000000002 pln,LOGISTYKA,Fa≥sz
Marzena  ,Tomaszewska,SP/749259/2009,2009-10-03,4069.2000000000003 z≥otych,SPRZEDAØ,nie ma
Zbigniew,MICHALAK,sp/677357/2012,2012-03-21,3617.79 PLN ,SPRZEDAØ,1
Maciej,Gajewski,MA/355468/2012,2012-10-07,5502.400000000001 PLN,MARKETING,nie ma
,WITKOWSKI,SP.722981.2017,2017-06-03T00:00:00,5205.0 z≥otych,SPRZEDAØ,nie
Jacek,Zawadzki,sp/954551/2013,2013-12-31,3766.5 z≥,SPRZEDAØ,Fa≥sz
Wioletta,Kowalska,IT/691705/2010,2010-12-27T00:00:00,8200.0 PLN,IT,NIE MA
Celina,Sikora,ks/742222/2017,2017-01-04,4862.6 z≥otych,KSI GOWOå∆,NIE MA
Edmund,ZIELI—SKI,LO/820702/2016,2016-08-07,3129.9750000000004 PLN,LOGISTYKA,NIE
Kazimiera,WrÛblewska,lo/189165/2015,2015/12/01,3843.4500000000003 Z£,LOGISTYKA,NIE MA
Roman,Sikora,ma/660787/2014,2014/07/19,5500.0 Z£ ,MARKETING,True
Sabina,StÍpieÒ,MA-379186-2011,2011-12-12,3366.4 PLN,MARKETING,False
marzena,WrÛblewska,cz/948308/2013,,3368.0 Z£ ,CZYSTOå∆,Nie
iwona,Witkowska,SP/581533/2011,2011-09-03T00:00:00,4959.0 z≥otych,SPRZEDAØ,FA£SZ
,Ostrowski,MA/436081/2009,2009/06/25,4744.0 z≥otych,MARKETING,nie
Marzena,Olszewska,SP/427202/2017,2017-06-03T00:00:00,5121.0 pln,SPRZEDAØ,nie ma
Dariusz,Kowalczyk,SP/563129/2013,2013-09-22 ,"3 621,255 pln",SPRZEDAØ,TAK
Zofia,Dudek,SP/771004/2018,2018-02-08,5230.5 pln,SPRZEDAØ,0
Bernadeta,Sikora,cz/246906/2017,2017-01-04,3468.3 z≥otych,CZYSTOå∆,PRAWDA
Alina,Majewska,MA/159055/2013,2013-06-14T00:00:00,4422.400000000001 z≥otych,MARKETING,nie
Witold,Krajewski,it/850508/2012,2012-03-21,9160.25 pln,IT,MA
Czes≥aw,Kowalski,LO/538355/2018,2018-02-08,"3 719,2500000000005 Z£",LOGISTYKA,Fa≥sz
JERZY,Majewski,LO_689178_2018,2018-05-19,"3 904,2000000000003 PLN",LOGISTYKA,
Lucjan,KRAWCZYK,MA/111205/2016,2016/06/18,4369.4400000000005 z≥ ,MARKETING,nie ma
eløbieta,Lewandowska  ,KA/996939/2012,2012-08-18T00:00:00,5355.25 z≥ ,KADRY,Fa≥sz
Ewa,Baran,ka/412520/2010,2010-09-18 ,4578.7 Z£,KADRY   ,NIE
Rafa≥,Czarnecki,CZ/466202/2012,2012/08/18,"2 231,0 z≥otych",CZYSTOå∆,False
Izabela,Nowicka   ,ka/357831/2012,2012-03-21,5386.25 z≥,KADRY,NIE MA
Kazimiera,Kaczmarek,ZA/946886/2015,2015-10-12,85118.0 PLN,ZARZ•D,ma
Edmund,KAèMIERCZAK,MA/758285/2014,2014-04-10,4770.832 PLN,MARKETING ,true
s≥awomir  ,jakubowski,MA/238526/2015,2015-12-01,"5 424,3200000000015 z≥",MARKETING ,PRAWDA
marzena,JasiÒska,ma/522262/2012,2012-01-31,4702.56 z≥otych,MARKETING,0
WIES£AWA,Jaworska,ka/384376/2015,2015-02-04T00:00:00,"4 139,43 z≥",KADRY,nie
Marcin,WrÛbel,ka/409601/2009,2009-11-22T00:00:00,3671.547000000001 Z£,KADRY,PRAWDA
EDMUND,Kaümierczak,OC/956419/2018,2018-07-08T00:00:00,2819.3 z≥,OCHRONA,PRAWDA
Wac≥awa,wrÛblewska ,sp/247670/2017,2017-04-14,5214.9 pln,SPRZEDAØ,false
Aldona,Zajπc,sp/155445/2013,2013-12-31,3246.0 z≥otych,SPRZEDAØ,Nie
Jadwiga,Pawlak,MA/842659/2017,2017/07/23,"4 211,5199999999995 PLN",MARKETING,nie
Julian,Chmielewski,MA-324950-2017,2017-09-11T00:00:00,3949.92 PLN,MARKETING,false
Zbigniew,,lo/804044/2010,2010-09-18,4710.150000000001 PLN,LOGISTYKA,
RÛøa,KamiÒska,CZ/231264/2016,2016-06-18,3312.1 PLN,CZYSTOå∆,Fa≥sz
Mieczys≥awa,Dudek,sp/547914/2012,2012-08-18T00:00:00,5023.049999999999 Z£,SPRZEDAØ,Fa≥sz
Karol,Krupa,MA/525787/2011 ,2011-02-15,4254.400000000001 z≥,MARKETING,Fa≥sz
Cecylia,Paw≥owska,MA/666281/2018 ,2018-02-08,3876.8 z≥,MARKETING,FA£SZ
JÛzef,Wiúniewski,SP/692903/2018,2018-08-27,4339.5 pln,SPRZEDAØ,NIE MA
Marzena,lewandowska,KS/880346/2012,2012/03/21 ,7186.3 z≥,KSI GOWOå∆,1
Krystyna,Wiúniewska,SP/949586/2010,2010-06-10T00:00:00,"3 736,0950000000007 PLN",SPRZEDAØ,true
LEOKADIA,wrÛbel,sp/594189/2014 ,2014-09-07  ,4269.299999999999 z≥,SPRZEDAØ,NIE MA
Jerzy ,KrÛl,cz/447665/2014,2014-09-07,3199.0 z≥otych,CZYSTOå∆,FA£SZ
Mariusz,Wieczorek,SP/161241/2009,2009-06-25,"4 931,85 Z£",SPRZEDAØ,tak
Aldona,WOèNIAK,MA/815289/2018,2018-03-30T00:00:00,4740.8 z≥otych,MARKETING,Nie
Feliks,Ostrowski,cz/826323/2011,2011-07-15,3238.0 PLN,CZYSTOå∆,false 
Lucyna,Kwiatkowska,CZ-642027-2018,2018-03-30,2555.9 z≥otych,CZYSTOå∆ ,Nie
ANDRZEJ,WrÛbel,MA/105297/2017,2017-04-14   ,5280.0 z≥,MARKETING,0
,DUDA,KA/336807/2014,2014-05-30,4925.900000000001 Z£,KADRY,NIE MA
Marian,Marciniak,KA/663564/2018,2018-08-27 ,5892.4800000000005 Z£,KADRY,TAK
Rafa≥,Bπk  ,MA/351573/2014 ,2014-05-30,4668.224 z≥otych,MARKETING,PRAWDA
Kazimiera,Kowalska,SP/320285/2017  ,,4863.210000000001 Z£,SPRZEDAØ ,tak
Regina ,Witkowska,MA_196606_2017,2017-07-23,5489.440000000001 Z£,MARKETING,ma
Regina,Tomaszewska,MA/568023/2009,2009-08-14,4996.8 Z£,MARKETING,Nie
Leszek,Kaümierczak,KA/292673/2012,2012-01-31,4042.71 Z£,KADRY ,false
Julia ,Jab≥oÒska,LO/849916/2011,2011-02-15T00:00:00,4469.107500000001 PLN ,LOGISTYKA,TAK
Tomasz,Mazur,ks/433713/2011,2011-10-23,"6 534,2 PLN",KSI GOWOå∆,False
Janusz  ,Gajewski,ma/145499/2018,2018-07-08T00:00:00,"4 441,6 pln",MARKETING,NIE
Dorota,SZYMA—SKA,MA.129602.2009,2009-10-03T00:00:00,"5 195,200000000001 PLN",MARKETING,Fa≥sz 
ZBIGNIEW,KRAJEWSKI,MA-629481-2009,2009/10/03,"3 763,2000000000003 PLN",MARKETING,nie
Bogus≥aw,Sobczak,LO/998619/2016,2016/11/15,2991.6000000000004 pln,LOGISTYKA,Fa≥sz
Aniela,Kaczmarek,KA/996964/2010 ,2010-07-30,4143.150000000001 z≥,KADRY,nie ma
Dorota,Kaczmarek,KA-418551-2015,2015-07-04,3591.66 z≥otych,KADRY,0
irena,Nowak,SP/307497/2013,2013-11-11,5137.950000000001 z≥otych,SPRZEDAØ,Nie
Waldemar,ZieliÒski,LO.530945.2010,2010/11/07,3412.5300000000007 Z£,LOGISTYKA,MA 
Graøyna,kwiatkowska,ma/228757/2013,2013-06-14,4220.4800000000005 PLN,MARKETING,FA£SZ 
Zdzis≥awa,KrÛl,CZ/676381/2013,2013-12-31T00:00:00,"2 601,28 z≥otych",CZYSTOå∆,true
Teresa,krÛl,ks/691358/2017,2017-07-23,4904.8 z≥otych,KSI GOWOå∆,nie ma
,SzymaÒska,ka/662164/2009,2009-10-03,"4 481,05 z≥otych",KADRY,0
Cecylia,majewska  ,KA/740017/2016,2016-01-20T00:00:00,"3 916,85 PLN",KADRY,nie ma
Eleonora ,Rutkowska,SP/404990/2014,2014-10-27,4288.35 pln,SPRZEDAØ,Tak
Ireneusz,Wasilewski,KA/383176/2016,2016-01-20,5680.037 PLN,KADRY,PRAWDA
Ludwik,,CZ/877237/2013,2013-06-14T00:00:00,3196.6 z≥,CZYSTOå∆,false
ZDZIS£AW,UrbaÒski,SP/703221/2014,2014-07-19,5480.970000000001 pln,SPRZEDAØ,true
Maciej,,lo/172710/2011,2011-05-26,5062.365000000001 PLN,LOGISTYKA,PRAWDA  
Aleksander  ,Michalski,ma/280928/2015 ,2015-10-12T00:00:00,"3 581,6000000000004 PLN",MARKETING,False
S≥awomir,zajπc,LO/923930/2012,2012-11-26T00:00:00,2987.55 PLN,LOGISTYKA,NIE MA
Feliks,Jakubowski,LO-179076-2018,2018-10-16 ,4553.55 z≥,LOGISTYKA,
Stanis≥awa ,krÛl,MA/927867/2012,2012-06-29,4118.400000000001 PLN ,MARKETING,Fa≥sz
Sylwester  ,Sobczak,MA/439217/2016,  ,5017.76 z≥otych,MARKETING,NIE
WIES£AW,Nowakowski,SP/387936/2016,2016-09-26,4878.0 Z£,SPRZEDAØ,Fa≥sz
TOMASZ,Krupa,sp/786481/2011 ,2011-02-15,"4 763,55 Z£",SPRZEDAØ,
Wac≥awa,Rutkowska ,ZA/498812/2016,2016-11-15,81672.5 z≥otych,ZARZ•D  ,0
Edward,Ko≥odziej,MA/398644/2017,2017-02-23,3588.16 z≥otych,MARKETING,FA£SZ
Mariusz,Jankowski,ma/379204/2014,,3773.9680000000008 pln,MARKETING,PRAWDA
Rafa≥,SOBCZAK,SP/547084/2017,2017-04-14T00:00:00,5623.200000000001 z≥   ,SPRZEDAØ,tak
Bernard,Wieczorek,OC.850650.2010,2010-01-11,3800.1260000000007 z≥otych,OCHRONA,true
bernard,Kowalski,CZ/342610/2010,2010/07/30,2689.9 Z£,CZYSTOå∆,FA£SZ
Romuald,Krajewski,KS/692604/2012,2012-10-07,5717.6 z≥,KSI GOWOå∆,NIE MA
Rafa≥,Dudek,KA_196775_2014,2014-10-27,4245.45 PLN,KADRY   ,nie ma
WIKTOR,walczak,sp/345181/2010,2010-06-10,3272.7000000000003 z≥otych ,SPRZEDAØ,NIE
Teresa ,Grabowska,OC-698590-2016,2016-09-26,2512.84 z≥otych,OCHRONA,Fa≥sz
Weronika,PIETRZAK,it/347281/2010,2010-01-11T00:00:00,9064.0 pln,IT,Prawda
Aneta,Mazur,SP_487304_2013,2013-04-25,3555.8999999999996 z≥otych,SPRZEDAØ,Nie
Ryszard ,UrbaÒski,SP/986263/2012,2012-01-31 ,4597.5 pln,SPRZEDAØ,nie
natalia,Pietrzak,lo/394044/2015,2015/12/01,3206.25 pln,LOGISTYKA,Fa≥sz 
HANNA,Sikora,ks/504509/2013,2013-06-14,5896.0 Z£,KSI GOWOå∆ ,NIE
Edmund,Kalinowski,OC/890587/2012,2012/03/21,3225.2000000000003 pln,OCHRONA,0
bronis≥awa,Adamczyk,KA.203270.2015 ,2015-02-04,3777.35 Z£,KADRY,Fa≥sz
bogus≥aw,Witkowski,ka/833611/2009  ,2009-11-22,4157.1 z≥otych,KADRY,Nie
Leszek,PAWLAK,KA/387794/2010,2010/01/11,3851.936 PLN,KADRY,PRAWDA
Stanis≥aw,Nowakowski,sp/751669/2010,2010-12-27,4264.5 z≥,SPRZEDAØ,Fa≥sz
JÛzefa,ZieliÒska,MA_322864_2010,2010-11-07T00:00:00,"4 112,0 PLN",MARKETING,Fa≥sz
IWONA,Baran,oc/956074/2016 ,2016-01-20,"3 710,1900000000005 PLN",OCHRONA,
WIES£AW,Soko≥owski,CZ/740332/2012,2012-01-31,3702.82 Z£ ,CZYSTOå∆,TAK
eleonora,Sikora  ,KS/285129/2012,2012-01-31T00:00:00,5316.8 pln,KSI GOWOå∆,False
Katarzyna,KOWALCZYK,lo/599248/2015,2015-02-04T00:00:00,3674.7000000000003 pln,LOGISTYKA,nie
Wanda   ,Rutkowska,sp/945291/2013,2013/08/03,4069.5 Z£,SPRZEDAØ,False
Weronika,Ostrowska,KA.230780.2009,2009-08-14,4491.1405 PLN,KADRY,MA
WOJCIECH,Sobczak,sp/149826/2017,2017-10-31,3450.6000000000004 Z£,SPRZEDAØ,False
,Szewczyk,MA/819387/2013,2013-09-22T00:00:00 ,3841.552 Z£,MARKETING,Prawda
Joanna,Witkowska,SP/569575/2014,2014-05-30,4478.1 Z£,SPRZEDAØ  ,Prawda
Cezary,Zajπc,KA/452547/2015,2015-05-15,4002.1 z≥,KADRY,
Alicja ,Nowakowska,MA/161032/2018,2018/02/08,"4 526,400000000001 z≥",MARKETING,nie
Stanis≥awa,Wieczorek,CZ/678940/2017 ,2017-06-03,3258.4 PLN,CZYSTOå∆,
Aleksander,GÛrski,SP.161215.2017,2017-02-23,3488.43 z≥otych,SPRZEDAØ,ma
Maciej,Sobczak,MA/424522/2016,2016-01-20,4635.36 pln    ,MARKETING,FA£SZ
Przemys≥aw,Witkowski,MA/322930/2011,2011/10/23,5352.336 z≥,MARKETING,PRAWDA
Zdzis≥awa,Nowakowska,cz/559009/2017,2017/07/23,"2 446,4 pln",CZYSTOå∆,Prawda
PRZEMYS£AW,Witkowski,KA/999639/2013,2013-09-22T00:00:00,4711.938 z≥,KADRY,true
Marianna,SIKORA,LO/493974/2017,2017-09-11,"3 617,4600000000005 z≥otych",LOGISTYKA,Prawda
Alina,KamiÒska,CZ/697859/2017  ,2017-02-23,3099.0 pln,CZYSTOå∆,nie ma
Mieczys≥awa,Woüniak,SP/485342/2014,2014-04-10T00:00:00,3484.5 z≥,SPRZEDAØ,0
Marcin,Gajewski,KA_806806_2010,2010-11-07,5575.35 z≥otych,KADRY  ,tak
zbigniew,Dπbrowski,MA/236289/2013,2013-11-11,3775.2000000000003 pln,MARKETING,tak  
Edyta,szymaÒska  ,lo/212860/2013  ,2013-08-03,3794.715 Z£,LOGISTYKA  ,NIE MA
Ryszard,mazurek,sp/797655/2013,2013-11-11,3516.15 z≥otych,SPRZEDAØ,PRAWDA
Zdzis≥aw,Jankowski,SP-367690-2013,2013/04/25,4791.0 z≥otych ,SPRZEDAØ,false
W≥adys≥awa,Kowalska,ma/791871/2012,2012-05-10 ,4466.528000000001 Z£,MARKETING ,tak
Bronis≥aw,Wysocki,KS-797293-2015,2015-03-26,"6 652,0 Z£",KSI GOWOå∆,
Jaros≥aw,baran,LO/912254/2016,2016-03-10T00:00:00,4468.365000000001 z≥otych,LOGISTYKA,1
waldemar,Nowicki,KS/919368/2017,2017-12-20T00:00:00,4662.0 PLN,KSI GOWOå∆,FA£SZ
Rafa≥ ,WÛjcik,CZ/674303/2015,2015-10-12T00:00:00,3011.9 pln,CZYSTOå∆,Nie  
Marek,Nowakowski,CZ/581776/2017,2017/06/03 ,"3 696,0000000000005 z≥otych",CZYSTOå∆,True
Franciszek,Dπbrowski,ka/160269/2012,2012-03-21T00:00:00  ,"5 062,765 z≥",KADRY,Fa≥sz
WIES£AWA,Witkowska,CZ/694698/2015,2015-10-12 ,2645.0 z≥otych,CZYSTOå∆,false
Andrzej,WrÛblewski,SP.904386.2018,2018/03/30,4225.320000000001 Z£ ,SPRZEDAØ,Prawda
Graøyna  ,Kwiatkowska,ks/784088/2014,2014/10/27 ,6287.4 z≥otych,KSI GOWOå∆,0
Alina,Rutkowska,LO/701747/2016,,4245.75 Z£,LOGISTYKA ,NIE MA
stefania ,Szewczyk,SP_137573_2014,2014-02-19,3208.3500000000004 z≥otych,SPRZEDAØ,nie ma
Mieczys≥aw,Adamski,SP.170313.2012,2012-11-26,3943.5 pln,SPRZEDAØ,FA£SZ
Alfred,Adamski,MA/738741/2010,2010-03-02,5891.2480000000005 PLN,MARKETING ,ma
JÛzef,Zawadzki,LO/561716/2011  ,2011-10-23,4204.305 z≥otych,LOGISTYKA,FA£SZ
WIKTORIA,Majewska,cz/427504/2010,2010-06-10T00:00:00,3710.4100000000003 pln,CZYSTOå∆,tak
Julia,Grabowska ,LO/317933/2016,2016-04-29 ,3642.435 z≥otych,LOGISTYKA,Nie
Adam,Paw≥owski,LO/736665/2017,2017-12-20  ,"3 389,8500000000004 pln",LOGISTYKA,FA£SZ
Miros≥awa,Nowak,lo/857392/2014,2014-10-27,3172.5 z≥otych,LOGISTYKA,nie ma 
ADAM,Duda,MA_348057_2015,2015/07/04,4404.8 z≥otych,MARKETING,FA£SZ
WIKTOR,G≥owacki,SP/156153/2011 ,2011/09/03,"3 942,18 z≥",SPRZEDAØ,True
Marcin,W≥odarczyk  ,OC_859401_2014,2014-02-19,"3 067,9 pln",OCHRONA,False
Irena,Witkowska,SP/670777/2009,2009-08-14,4206.15 z≥otych,SPRZEDAØ,NIE
Wojciech,Jab≥oÒski,MA/621845/2017,2017/09/11,5484.8 pln,MARKETING,0
Wioletta,Kowalska  ,LO/878767/2010,2010-04-21,4172.85 z≥otych,LOGISTYKA,false
